id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date
196,aastocks,0021.HK,2016/06,2016,quarterly,HKD,,,,-0.0024,,-8000000.0,7.55,7.69,0.0,,
197,aastocks,0021.HK,2017/06,2017,quarterly,HKD,,,,-0.01,,-33000000.0,-321.15,-316.67,0.0,,
198,aastocks,0021.HK,2018/06,2018,quarterly,HKD,,,,0.0021,,7000000.0,-,-,0.0,,
199,aastocks,0021.HK,2019/06,2019,quarterly,HKD,,,,-0.0011,,-4000000.0,-,-,0.0,,
200,aastocks,0021.HK,2020/06,2020,quarterly,HKD,,,,0.002,,8000000.0,-,-,0.0,,
201,aastocks,0022.HK,2016/03,2016,annual,HKD,,,,0.0273,,36000000.0,-0.80,-0.73,0.0,,
202,aastocks,0022.HK,2017/03,2017,annual,HKD,,,,-0.0004,,-1000000.0,-,-,0.0,,
203,aastocks,0022.HK,2018/03,2018,annual,HKD,,,,-0.0001,,0.0,79.26,75.00,0.0,,
204,aastocks,0022.HK,2019/03,2019,annual,HKD,,,,0.0008,,1000000.0,-,-,0.0,,
205,aastocks,0022.HK,2020/03,2020,annual,HKD,,,,-0.0359,,-71000000.0,-,-,0.0,,
206,aastocks,0022.HK,2016/09,2016,quarterly,HKD,,,,0.0073,,10000000.0,-71.89,-71.90,0.0,,
207,aastocks,0022.HK,2017/09,2017,quarterly,HKD,,,,-0.0005,,-1000000.0,-,-,0.0,,
208,aastocks,0022.HK,2018/09,2018,quarterly,HKD,,,,0.0014,,2000000.0,-,-,0.0,,
209,aastocks,0022.HK,2019/09,2019,quarterly,HKD,,,,-0.0113,,-22000000.0,-,-,0.0,,
210,aastocks,0022.HK,2020/09,2020,quarterly,HKD,,,,-0.0122,,-24000000.0,-8.02,-7.95,0.0,,
211,aastocks,0023.HK,2016/12,2016,annual,HKD,,,,1.21,,3723000000.0,-32.58,-37.95,0.56,,
212,aastocks,0023.HK,2017/12,2017,annual,HKD,,,,3.21,,9347000000.0,151.06,165.29,1.28,,
213,aastocks,0023.HK,2018/12,2018,annual,HKD,,,,2.07,,6509000000.0,-30.36,-35.51,1.18,,
214,aastocks,0023.HK,2019/12,2019,annual,HKD,,,,0.89,,3260000000.0,-49.92,-57.00,0.46,,
215,aastocks,0023.HK,2020/12,2020,annual,HKD,,,,0.97,,3614000000.0,10.86,8.99,0.4,,
216,aastocks,0023.HK,2016/06,2016,quarterly,HKD,,,,0.69,,2095000000.0,-38.65,-46.09,0.28,,
217,aastocks,0023.HK,2017/06,2017,quarterly,HKD,,,,2.2,,6220000000.0,196.90,218.84,0.68,,
218,aastocks,0023.HK,2018/06,2018,quarterly,HKD,,,,1.3,,3992000000.0,-35.82,-40.91,0.51,,
219,aastocks,0023.HK,2019/06,2019,quarterly,HKD,,,,0.22,,1000000000.0,-74.95,-83.08,0.11,,
220,aastocks,0023.HK,2020/06,2020,quarterly,HKD,,,,0.39,,1532000000.0,53.20,77.27,0.16,,
221,aastocks,0024.HK,2015/12,2015,annual,HKD,,,,-0.0257,,-123000000.0,55.77,57.80,0.0,,
222,aastocks,0024.HK,2016/12,2016,annual,HKD,,,,-0.0412,,-208000000.0,-68.40,-60.31,0.0,,
223,aastocks,0024.HK,2017/12,2017,annual,HKD,,,,-0.0015,,-8000000.0,96.29,96.36,0.0,,
224,aastocks,0024.HK,2018/12,2018,annual,HKD,,,,-0.0216,,-109000000.0,-1319.26,-1340.00,0.0,,
225,aastocks,0024.HK,2019/12,2019,annual,HKD,,,,-0.2524,,-1290000000.0,-1078.04,-1068.52,0.0,,
226,aastocks,0024.HK,2016/06,2016,quarterly,HKD,,,,-0.0008,,-4000000.0,91.11,91.49,0.0,,
227,aastocks,0024.HK,2017/06,2017,quarterly,HKD,,,,0.0249,,124000000.0,-,-,0.0,,
228,aastocks,0024.HK,2018/06,2018,quarterly,HKD,,,,0.0085,,43000000.0,-65.51,-65.86,0.0,,
229,aastocks,0024.HK,2019/06,2019,quarterly,HKD,,,,-0.0356,,-182000000.0,-,-,0.0,,
230,aastocks,0024.HK,2020/06,2020,quarterly,HKD,,,,0.0011,,5000000.0,-,-,0.0,,
231,aastocks,0025.HK,2016/03,2016,annual,HKD,,,,1.05,,315000000.0,-79.50,-79.85,0.7,,
232,aastocks,0025.HK,2017/03,2017,annual,HKD,,,,1.79,,540000000.0,71.48,70.48,0.6,,
233,aastocks,0025.HK,2018/03,2018,annual,HKD,,,,3.01,,908000000.0,68.05,68.16,1.75,,
