id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date,month
23803,aastocks,9126.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664,0.0,0.0,12
23804,aastocks,9126.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578,0.0,0.0,12
23805,aastocks,9126.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408,0.0,0.0,06
23806,aastocks,9126.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.0,0.0,06
23807,aastocks,9126.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284,0.0,0.0,06
23808,aastocks,9140.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268,0.0,0.0,12
23809,aastocks,9140.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,12
23810,aastocks,9140.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,06
23811,aastocks,9140.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,06
23812,aastocks,9140.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,06
23813,aastocks,9141.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629,0.0,0.0,12
23814,aastocks,9141.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23815,aastocks,9141.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,06
23816,aastocks,9167.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0983,0.0,0.0,12
23817,aastocks,9167.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1297,0.0,0.0,12
23818,aastocks,9167.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23819,aastocks,9167.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23820,aastocks,9167.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23821,aastocks,9169.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,12
23822,aastocks,9169.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,0.0,12
23823,aastocks,9169.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,06
23824,aastocks,9169.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,06
23825,aastocks,9170.HK,2016/12,2016,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23826,aastocks,9170.HK,2017/12,2017,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23827,aastocks,9170.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,12
23828,aastocks,9170.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,12
23829,aastocks,9170.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23830,aastocks,9170.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23831,aastocks,9173.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23832,aastocks,9173.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23833,aastocks,9173.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23834,aastocks,9181.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23835,aastocks,9181.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23836,aastocks,9181.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23837,aastocks,9186.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23838,aastocks,9186.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23839,aastocks,9186.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23840,aastocks,9186.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23841,aastocks,9186.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23842,aastocks,9618.HK,2017/12,2017,annual,HKD,0.0,0.0,0.0,-0.0599,0.0,-183000000.0,0.0,0.0,0.0,0.0,0.0,12
23843,aastocks,9618.HK,2018/12,2018,annual,HKD,0.0,0.0,0.0,-0.9906,0.0,-2837000000.0,-1454.16,-1552.48,0.0,0.0,0.0,12
23844,aastocks,9618.HK,2019/12,2019,annual,HKD,0.0,0.0,0.0,4.6712,0.0,13616000000.0,5.7994360239689815,5.7155259438724,0.0,0.0,0.0,12
23845,aastocks,9618.HK,2020/06,2020,quarterly,HKD,0.0,0.0,0.0,6.5224,0.0,19205000000.0,0.0,0.0,0.0,0.0,0.0,06
23846,aastocks,9668.HK,2017/12,2017,annual,HKD,0.0,0.0,0.0,0.5875,0.0,8097000000.0,0.0,0.0,0.0,0.0,0.0,12
23847,aastocks,9668.HK,2018/12,2018,annual,HKD,0.0,0.0,0.0,0.5579,0.0,8061000000.0,-0.44,-5.03,0.0,0.0,0.0,12
23848,aastocks,9668.HK,2019/12,2019,annual,HKD,0.0,0.0,0.0,0.637,0.0,9155000000.0,13.57,14.17,0.0,0.0,0.0,12
23849,aastocks,9668.HK,2020/06,2020,quarterly,HKD,0.0,0.0,0.0,0.3837,0.0,5532000000.0,0.0,0.0,0.0,0.0,0.0,06
23850,aastocks,9804.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23851,aastocks,9805.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0,12
23852,aastocks,9805.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.0,0.0,12
23853,aastocks,9805.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229,0.0,0.0,06
23854,aastocks,9805.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166,0.0,0.0,06
23855,aastocks,9805.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,06
23856,aastocks,9806.HK,2020/09,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23857,aastocks,9809.HK,2020/09,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23858,aastocks,9810.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23859,aastocks,9810.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23860,aastocks,9810.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,06
23861,aastocks,9820.HK,2020/03,2020,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03
23862,aastocks,9820.HK,2019/09,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23863,aastocks,9820.HK,2020/09,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23864,aastocks,9826.HK,2020/03,2020,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03
23865,aastocks,9826.HK,2019/09,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23866,aastocks,9826.HK,2020/09,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23867,aastocks,9834.HK,2016/12,2016,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23868,aastocks,9834.HK,2017/12,2017,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
